stage,rank,logistic_weight,random_forest_weight,gradient_boosting_weight,log_loss,top1,ece,selected,search_skipped,skip_reason
coarse,176,0.45,0.45,0.1,0.07899336292317737,0.993,0.05802231354120979,False,False,
coarse,177,0.5,0.35000000000000003,0.15000000000000002,0.0795948101981646,0.993,0.0589517080246208,False,False,
coarse,178,0.6000000000000001,0.1,0.30000000000000004,0.08013943363982882,0.9925,0.058911419519195735,False,False,
coarse,179,0.55,0.25,0.2,0.08042655934169005,0.9925,0.05940397321839866,False,False,
coarse,180,0.4,0.6000000000000001,0.0,0.08057034149843845,0.992375,0.057538038895877996,False,False,
coarse,181,0.45,0.5,0.05,0.08079104980010846,0.993,0.059273995403734264,False,False,
coarse,182,0.5,0.4,0.1,0.08126973840105883,0.99325,0.06051111270475806,False,False,
coarse,183,0.6000000000000001,0.15000000000000002,0.25,0.08148677897614837,0.992625,0.06041385155309804,False,False,
coarse,184,0.65,0.0,0.35000000000000003,0.08163693508469068,0.99225,0.05919686764368855,False,False,
coarse,185,0.55,0.30000000000000004,0.15000000000000002,0.0819859161644215,0.99325,0.06141890847680699,False,False,
coarse,186,0.45,0.55,0.0,0.08269154316990841,0.992625,0.0600803834241522,False,False,
coarse,187,0.65,0.05,0.30000000000000004,0.08280072693913956,0.992625,0.061049659414998125,False,False,
coarse,188,0.6000000000000001,0.2,0.2,0.08293060129741528,0.992625,0.06162465954734324,False,False,
coarse,189,0.5,0.45,0.05,0.08303982411470075,0.992875,0.06140321800036472,False,False,
coarse,190,0.55,0.35000000000000003,0.1,0.08363668782381119,0.993125,0.06260391477430265,False,False,
coarse,191,0.65,0.1,0.25,0.0841109116378876,0.99275,0.06254736740852895,False,False,
coarse,192,0.6000000000000001,0.25,0.15000000000000002,0.08446668768416928,0.99275,0.06317103113620177,False,False,
coarse,193,0.5,0.5,0.0,0.08491003858479966,0.992875,0.062587513348029,False,False,
coarse,194,0.55,0.4,0.05,0.08538123261115273,0.993125,0.0638835996668034,False,False,
coarse,195,0.65,0.15000000000000002,0.2,0.08552704696799698,0.992875,0.06402310493494891,False,False,
coarse,196,0.7000000000000001,0.0,0.30000000000000004,0.08560354371181286,0.9925,0.06303560988631504,False,False,
coarse,197,0.6000000000000001,0.30000000000000004,0.1,0.08609426547401451,0.992875,0.06448611746617036,False,False,
coarse,198,0.7000000000000001,0.05,0.25,0.08684175601785625,0.9925,0.06440420973556765,False,False,
coarse,199,0.65,0.2,0.15000000000000002,0.08703897267327364,0.992625,0.06519399257946637,False,False,
coarse,200,0.55,0.45,0.0,0.08722396718457442,0.992625,0.06457334669941132,False,False,
coarse,201,0.6000000000000001,0.35000000000000003,0.05,0.08781495868254963,0.992625,0.06552134925014601,False,False,
coarse,202,0.7000000000000001,0.1,0.2,0.08822158479161345,0.9925,0.06570222665336983,False,False,
coarse,203,0.65,0.25,0.1,0.08864371576882768,0.992375,0.06636957352653663,False,False,
coarse,204,0.6000000000000001,0.4,0.0,0.08963266214251976,0.993,0.06715780195991795,False,False,
coarse,205,0.7000000000000001,0.15000000000000002,0.15000000000000002,0.08970643769358434,0.992375,0.06706239965594471,False,False,
coarse,206,0.75,0.0,0.25,0.08971511121027045,0.992625,0.06656810611801926,False,False,
coarse,207,0.65,0.30000000000000004,0.05,0.09034182692274774,0.992375,0.06762233005802074,False,False,
coarse,208,0.75,0.05,0.2,0.09102614871775157,0.9925,0.06780379915466177,False,False,
coarse,209,0.7000000000000001,0.2,0.1,0.09128771710975063,0.992125,0.06803929749179374,False,False,
coarse,210,0.65,0.35000000000000003,0.0,0.09213663050129348,0.9925,0.06882965298798113,False,False,
coarse,211,0.75,0.1,0.15000000000000002,0.0924757424464976,0.99225,0.06890139706007428,False,False,
coarse,212,0.7000000000000001,0.25,0.05,0.09296395031593231,0.992,0.0692095791093737,False,False,
coarse,213,0.8,0.0,0.2,0.09397616383024028,0.99225,0.06963378691656955,False,False,
coarse,214,0.75,0.15000000000000002,0.1,0.09403095172139982,0.99225,0.07026190784804008,False,False,
